day,forecasted_temperature
1,22.632712996006013
2,22.693377894163135
3,22.78424266576767
4,22.826656603813174
5,22.798442798852925
6,22.761585062742235
7,22.804303497076038
8,22.84450727105141
9,22.859658527374272
10,22.842825698852543
11,22.81956423521042
12,22.831010216474535
13,22.805280280113223
14,22.824287348985674
15,22.849894118309024
16,22.852785122394565
17,22.847771197557453
18,22.85221547484398
19,22.835640954971318
20,22.81181155443192
21,22.808311557769777
22,22.80745623111725
23,22.82081643342972
24,22.83565635085106
25,22.837931519746782
26,22.848576915264132
27,22.845843291282655
28,22.844214749336246
29,22.83480957746506
30,22.83224701881409
