day,lstm_forecasted_temperature
1,23.558173012733462
2,24.0552649140358
3,24.37952951192856
4,24.563965308666234
5,24.655847918987277
6,24.682783865928652
7,24.675835192203525
8,24.655098652839662
9,24.63135820627213
10,24.61003662347794
11,24.593347489833835
12,24.581598722934725
13,24.57415053844452
14,24.570123660564427
15,24.568597757816317
16,24.568768823146822
17,24.569969701766972
18,24.571759045124058
19,24.57376735210419
20,24.575813293457035
21,24.57787634134293
22,24.579953074455265
23,24.58204691410065
24,24.58403811454773
25,24.585748767852785
26,24.58711044788361
27,24.588225793838504
28,24.589094805717473
29,24.589792752265932
30,24.59032989740372
