day,lstm_forecasted_temperature
1,23.576312780380253
2,24.075871443748476
3,24.398476707935338
4,24.58176636695862
5,24.66994370222092
6,24.694399201869967
7,24.686006736755374
8,24.66429170370102
9,24.639959371089937
10,24.61835381984711
11,24.60152099132538
12,24.58969353437424
13,24.582235085964207
14,24.57820136547089
15,24.57664124965668
16,24.576737046241764
17,24.577845549583436
18,24.57949804067612
19,24.581369495391847
20,24.58326147794724
21,24.585050821304325
22,24.586679363250735
23,24.588119733333592
24,24.5893753528595
25,24.590456485748295
26,24.591380238533024
27,24.59216713905335
28,24.592837715148928
29,24.593409073352817
30,24.59389147758484
